"","Регион","Месяц","Квартал","Индекс потребительской активности","Доля безналичных платежей","Количество внутренних туристов","Всего одобренных заявок","Доля онлайн-заявок","Доля заявок в офисе банка","Всего ипотечных сделок","Доля сделок, первичка","Доля сделок, вторичка","Среднемесячная заработная плата","Число активных абонентов беспроводного доступа к сети","Уровень безработицы населения"
"177","Кабардино-Балкарская Республика","Сентябрь","Квартал 3",70.5,28.6,40.04,"500 - 1 000",0.21,0.79,"100 - 500",0.05,0.92,28665.2,65,15.2
"178","Кабардино-Балкарская Республика","Октябрь","Квартал 4",70,28.9,7.18,"500 - 1 000",0.3,0.7,"100 - 500",0.06,0.89,29741.6,71,16.2
"179","Кабардино-Балкарская Республика","Ноябрь","Квартал 4",67,30.6,6.05,"100 - 500",0.33,0.67,"100 - 500",0.06,0.9,28493.7,71,16.2
"180","Кабардино-Балкарская Республика","Декабрь","Квартал 4",74,28.7,7.62,"500 - 1 000",0.37,0.63,"100 - 500",0.04,0.9,40069.4,71,16.2
"181","Калининградская область","Январь","Квартал 1",68,59.3,21.3,"500 - 1 000",0.35,0.65,"100 - 500",0.34,0.61,32762.7,629,4.3
"182","Калининградская область","Февраль","Квартал 1",75,55.7,31.43,"500 - 1 000",0.3,0.7,"100 - 500",0.25,0.72,34682,629,4.3
"183","Калининградская область","Март","Квартал 1",73,58.3,-6.16,"500 - 1 000",0.38,0.62,"100 - 500",0.31,0.66,36164.5,629,4.3
"184","Калининградская область","Апрель","Квартал 2",50.5,57.6,-81.2,"100 - 500",0.51,0.49,"100 - 500",0.19,0.79,35111.5,789,5.3
"185","Калининградская область","Май","Квартал 2",65,59.9,-85.47,"500 - 1 000",0.45,0.55,"100 - 500",0.53,0.46,36660.6,789,5.3
"186","Калининградская область","Июнь","Квартал 2",78.5,57.8,-56.76,"1 000 - 5 000",0.4,0.6,"100 - 500",0.49,0.49,36719.5,789,5.3
"187","Калининградская область","Июль","Квартал 3",85,57.4,23.4,"1 000 - 5 000",0.45,0.55,"100 - 500",0.47,0.51,37575.3,828,7.1
"188","Калининградская область","Август","Квартал 3",87,59,67.13,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.44,0.54,36102,828,7.1
"189","Калининградская область","Сентябрь","Квартал 3",87.5,58.7,65.84,"1 000 - 5 000",0.43,0.57,"500 - 1 000",0.39,0.57,36257.7,828,7.1
"190","Калининградская область","Октябрь","Квартал 4",83,59.9,19.97,"1 000 - 5 000",0.47,0.53,"500 - 1 000",0.32,0.64,37486.5,1394,6.9
"191","Калининградская область","Ноябрь","Квартал 4",75,62.8,6.85,"500 - 1 000",0.47,0.53,"500 - 1 000",0.26,0.69,36719.9,1394,6.9
"192","Калининградская область","Декабрь","Квартал 4",70,59.9,2.8,"500 - 1 000",0.53,0.47,"500 - 1 000",0.26,0.68,48994.2,1394,6.9
"193","Калужская область","Январь","Квартал 1",60,51.7,19.75,"500 - 1 000",0.25,0.75,"100 - 500",0.32,0.65,40332.6,4705,3.8
"194","Калужская область","Февраль","Квартал 1",62,48.7,23,"500 - 1 000",0.21,0.79,"500 - 1 000",0.26,0.69,39866.6,4705,3.8
"195","Калужская область","Март","Квартал 1",62,50.1,28.44,"1 000 - 5 000",0.22,0.78,"500 - 1 000",0.24,0.72,42282.5,4705,3.8
"196","Калужская область","Апрель","Квартал 2",48,51.3,-8.53,"100 - 500",0.41,0.59,"100 - 500",0.14,0.82,40644.8,4823,4.7
"197","Калужская область","Май","Квартал 2",55,52.9,-1.53,"500 - 1 000",0.38,0.62,"100 - 500",0.31,0.67,43968.8,4823,4.7
"198","Калужская область","Июнь","Квартал 2",69.5,51.3,26.36,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.39,0.58,44157.9,4823,4.7
"199","Калужская область","Июль","Квартал 3",73,50.3,22.34,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.32,0.66,45363.1,5183,5.2
"200","Калужская область","Август","Квартал 3",70,52.4,33.9,"1 000 - 5 000",0.36,0.64,"500 - 1 000",0.31,0.66,40491.7,5183,5.2
"201","Калужская область","Сентябрь","Квартал 3",71.5,52.2,13.73,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.26,0.69,42595.6,5183,5.2
"202","Калужская область","Октябрь","Квартал 4",71,52.6,26.52,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.23,0.73,43817.5,5209,5.1
"203","Калужская область","Ноябрь","Квартал 4",66,55.2,9.95,"1 000 - 5 000",0.42,0.58,"500 - 1 000",0.2,0.75,43632.1,5209,5.1
"204","Калужская область","Декабрь","Квартал 4",73,53.2,-4.33,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.2,0.76,55421.6,5209,5.1
"205","Камчатский край","Январь","Квартал 1",63,61.8,-4.85,"100 - 500",0.38,0.62,"50 - 100",0.16,0.81,76944.4,1,3.6
"206","Камчатский край","Февраль","Квартал 1",68,58.6,3.27,"100 - 500",0.39,0.61,"100 - 500",0.13,0.84,70395.9,1,3.6
"207","Камчатский край","Март","Квартал 1",65,60.5,7.18,"100 - 500",0.36,0.64,"100 - 500",0.15,0.81,76383.8,1,3.6
"208","Камчатский край","Апрель","Квартал 2",56.5,58.2,-32.46,"100 - 500",0.59,0.41,"100 - 500",0.13,0.87,75196.6,2,4
"209","Камчатский край","Май","Квартал 2",64,60.1,-25.82,"100 - 500",0.59,0.41,"100 - 500",0.27,0.7,100636.7,2,4
"210","Камчатский край","Июнь","Квартал 2",70,59.9,-17.9,"100 - 500",0.5,0.5,"100 - 500",0.22,0.76,85052.1,2,4
"211","Камчатский край","Июль","Квартал 3",74,59.7,-11.7,"100 - 500",0.5,0.5,"100 - 500",0.22,0.76,75915,2,3.6
"212","Камчатский край","Август","Квартал 3",71,60.7,33.29,"100 - 500",0.47,0.53,"100 - 500",0.24,0.75,78699.2,2,3.6
"213","Камчатский край","Сентябрь","Квартал 3",73,59.2,28.97,"100 - 500",0.51,0.49,"100 - 500",0.21,0.77,89188,2,3.6
"214","Камчатский край","Октябрь","Квартал 4",72,61.6,-4.99,"500 - 1 000",0.51,0.49,"100 - 500",0.25,0.72,79565.6,4,4.1
"215","Камчатский край","Ноябрь","Квартал 4",64,63.4,-5.35,"100 - 500",0.51,0.49,"100 - 500",0.21,0.77,74554.4,4,4.1
"216","Камчатский край","Декабрь","Квартал 4",67,61.5,8.61,"100 - 500",0.54,0.46,"100 - 500",0.14,0.83,109642.3,4,4.1
"217","Кемеровская область","Январь","Квартал 1",60,54.4,9.56,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.12,0.86,41525.8,1232,5.4
"218","Кемеровская область","Февраль","Квартал 1",65,52.1,25.68,"1 000 - 5 000",0.27,0.73,"500 - 1 000",0.1,0.89,40628.2,1232,5.4
"219","Кемеровская область","Март","Квартал 1",64,55.1,1.36,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.13,0.85,42744.3,1232,5.4
"220","Кемеровская область","Апрель","Квартал 2",58.5,53.8,-51.14,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.09,0.89,40935.5,1210,6.6
"221","Кемеровская область","Май","Квартал 2",64,54.8,-50.61,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.17,0.82,42991.6,1210,6.6
"222","Кемеровская область","Июнь","Квартал 2",72,54.3,-19.91,"1 000 - 5 000",0.31,0.69,"> 1 000",0.17,0.82,44758.1,1210,6.6
"223","Кемеровская область","Июль","Квартал 3",75,54.1,-7.38,"1 000 - 5 000",0.38,0.62,"> 1 000",0.19,0.8,42032.4,1099,8
"224","Кемеровская область","Август","Квартал 3",72,56.1,1.34,"1 000 - 5 000",0.35,0.65,"> 1 000",0.21,0.77,41759.8,1099,8
"225","Кемеровская область","Сентябрь","Квартал 3",72.5,55.7,-3.67,"1 000 - 5 000",0.37,0.63,"> 1 000",0.18,0.79,42060.5,1099,8
"226","Кемеровская область","Октябрь","Квартал 4",69,56.8,-29.17,"1 000 - 5 000",0.39,0.61,"> 1 000",0.17,0.79,42451.1,1070,6.8
"227","Кемеровская область","Ноябрь","Квартал 4",61.5,58.3,-23.85,"1 000 - 5 000",0.4,0.6,"> 1 000",0.14,0.82,42716.4,1070,6.8
"228","Кемеровская область","Декабрь","Квартал 4",65,58.2,-12.87,"1 000 - 5 000",0.38,0.62,"> 1 000",0.11,0.85,55840.6,1070,6.8
"229","Кировская область","Январь","Квартал 1",68,59.2,8.65,"500 - 1 000",0.2,0.8,"100 - 500",0.18,0.77,29934.7,3067,4.6
"230","Кировская область","Февраль","Квартал 1",73,55.4,16.06,"500 - 1 000",0.19,0.81,"100 - 500",0.2,0.77,29886.8,3067,4.6
"231","Кировская область","Март","Квартал 1",70,57.9,7.94,"1 000 - 5 000",0.2,0.8,"500 - 1 000",0.15,0.82,30951.3,3067,4.6
"232","Кировская область","Апрель","Квартал 2",48,57.1,-45.79,"500 - 1 000",0.33,0.67,"500 - 1 000",0.12,0.86,30889.3,3169,6.1
"233","Кировская область","Май","Квартал 2",60,58.2,-44.54,"1 000 - 5 000",0.28,0.72,"100 - 500",0.31,0.68,32807,3169,6.1
"234","Кировская область","Июнь","Квартал 2",74.5,56.4,-13.11,"1 000 - 5 000",0.23,0.77,"500 - 1 000",0.31,0.66,34058.5,3169,6.1
"235","Кировская область","Июль","Квартал 3",78,55.8,-5.79,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.29,0.69,33285.7,3052,5.4
"236","Кировская область","Август","Квартал 3",77,57.6,10.56,"1 000 - 5 000",0.32,0.68,"> 1 000",0.26,0.7,31737.6,3052,5.4
"237","Кировская область","Сентябрь","Квартал 3",79,57.1,10.81,"1 000 - 5 000",0.31,0.69,"> 1 000",0.2,0.75,31966.6,3052,5.4
"238","Кировская область","Октябрь","Квартал 4",75,58.7,-13.69,"1 000 - 5 000",0.33,0.67,"> 1 000",0.19,0.76,32304,3225,5.4
"239","Кировская область","Ноябрь","Квартал 4",70,60.5,-22.02,"1 000 - 5 000",0.33,0.67,"> 1 000",0.14,0.8,31588.4,3225,5.4
"240","Кировская область","Декабрь","Квартал 4",71,58.9,-16.17,"1 000 - 5 000",0.34,0.66,"> 1 000",0.15,0.8,38921.9,3225,5.4
"241","Костромская область","Январь","Квартал 1",53,53.9,23.34,"100 - 500",0.22,0.78,"100 - 500",0.1,0.86,29871,38,4.2
"242","Костромская область","Февраль","Квартал 1",56,50.1,43.11,"100 - 500",0.22,0.78,"100 - 500",0.09,0.89,29882.2,38,4.2
"243","Костромская область","Март","Квартал 1",59,51.2,20.88,"500 - 1 000",0.23,0.77,"100 - 500",0.11,0.85,32049,38,4.2
"244","Костромская область","Апрель","Квартал 2",43,55.1,-43.83,"100 - 500",0.36,0.64,"100 - 500",0.1,0.89,28995,30,6
"245","Костромская область","Май","Квартал 2",53,55.3,-58.74,"100 - 500",0.34,0.66,"100 - 500",0.19,0.76,30785.7,30,6
"246","Костромская область","Июнь","Квартал 2",63.5,52.6,-13.62,"500 - 1 000",0.28,0.72,"100 - 500",0.26,0.7,31461.2,30,6
"247","Костромская область","Июль","Квартал 3",66,52.1,16.7,"500 - 1 000",0.32,0.68,"100 - 500",0.25,0.73,31760.8,31,6.2
"248","Костромская область","Август","Квартал 3",64,54.4,39.49,"500 - 1 000",0.36,0.64,"100 - 500",0.21,0.76,30178.8,31,6.2
"249","Костромская область","Сентябрь","Квартал 3",66.5,52.3,33.12,"500 - 1 000",0.36,0.64,"100 - 500",0.19,0.77,31313.6,31,6.2
"250","Костромская область","Октябрь","Квартал 4",64,54,17.8,"500 - 1 000",0.34,0.66,"100 - 500",0.18,0.79,31959.3,29,5.7
"251","Костромская область","Ноябрь","Квартал 4",63,56.4,-12.96,"500 - 1 000",0.33,0.67,"100 - 500",0.16,0.79,31008.2,29,5.7
"252","Костромская область","Декабрь","Квартал 4",68,54.8,-5.2,"500 - 1 000",0.37,0.63,"100 - 500",0.15,0.8,43625.1,29,5.7
"253","Краснодарский край","Январь","Квартал 1",64,50.3,15.57,"1 000 - 5 000",0.36,0.64,"> 1 000",0.26,0.7,35798.7,7637,4.8
"254","Краснодарский край","Февраль","Квартал 1",69,47.4,14.74,"1 000 - 5 000",0.34,0.66,"> 1 000",0.28,0.69,35216.5,7637,4.8
"255","Краснодарский край","Март","Квартал 1",69,47.6,10.03,"1 000 - 5 000",0.34,0.66,"> 1 000",0.27,0.7,37964.3,7637,4.8
"256","Краснодарский край","Апрель","Квартал 2",43,49.8,-67.22,"1 000 - 5 000",0.5,0.5,"> 1 000",0.19,0.78,36884.8,10206,6.4
"257","Краснодарский край","Май","Квартал 2",54,48.6,-72.35,"1 000 - 5 000",0.44,0.56,"> 1 000",0.4,0.58,37773.6,10206,6.4
"258","Краснодарский край","Июнь","Квартал 2",67,48.1,-53.48,"5 000 - 10 000",0.38,0.62,"> 1 000",0.44,0.54,37977.7,10206,6.4
"259","Краснодарский край","Июль","Квартал 3",73,47.6,-5.39,"5 000 - 10 000",0.45,0.55,"> 1 000",0.42,0.56,35820.2,11521,5.9
"260","Краснодарский край","Август","Квартал 3",75,49.3,22.57,"5 000 - 10 000",0.47,0.53,"> 1 000",0.42,0.55,35182.3,11521,5.9
"261","Краснодарский край","Сентябрь","Квартал 3",79,50,33.1,"5 000 - 10 000",0.48,0.52,"> 1 000",0.36,0.61,35649.5,11521,5.9
"262","Краснодарский край","Октябрь","Квартал 4",78,51.2,26.24,"5 000 - 10 000",0.49,0.51,"> 1 000",0.33,0.63,36154.8,11773,5.7
"263","Краснодарский край","Ноябрь","Квартал 4",68.5,53.7,2.63,"5 000 - 10 000",0.5,0.5,"> 1 000",0.31,0.65,36661.5,11773,5.7
"264","Краснодарский край","Декабрь","Квартал 4",74,52.9,10.82,"5 000 - 10 000",0.51,0.49,"> 1 000",0.27,0.7,50686.3,11773,5.7
"265","Красноярский край","Январь","Квартал 1",60,52.9,15.12,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.19,0.77,49334.1,4099,3.6
"266","Красноярский край","Февраль","Квартал 1",70,50.6,11.4,"1 000 - 5 000",0.35,0.65,"> 1 000",0.17,0.81,48154.7,4099,3.6
"267","Красноярский край","Март","Квартал 1",67,52.4,-4.89,"1 000 - 5 000",0.38,0.62,"> 1 000",0.15,0.83,50930.7,4099,3.6
"268","Красноярский край","Апрель","Квартал 2",52,50.9,-43.75,"1 000 - 5 000",0.51,0.49,"> 1 000",0.15,0.83,54784.7,4652,7
"269","Красноярский край","Май","Квартал 2",61,52,-35.78,"1 000 - 5 000",0.48,0.52,"> 1 000",0.31,0.68,57838.8,4652,7
"270","Красноярский край","Июнь","Квартал 2",68.5,51.3,-18.63,"1 000 - 5 000",0.42,0.58,"> 1 000",0.28,0.7,56791.5,4652,7
"271","Красноярский край","Июль","Квартал 3",73,52.3,-12.7,"1 000 - 5 000",0.47,0.53,"> 1 000",0.28,0.7,51880.7,5024,7.9
"272","Красноярский край","Август","Квартал 3",73,54.4,4.24,"1 000 - 5 000",0.47,0.53,"> 1 000",0.31,0.67,50394.6,5024,7.9
"273","Красноярский край","Сентябрь","Квартал 3",77.5,54.1,-2.52,"1 000 - 5 000",0.44,0.56,"> 1 000",0.26,0.71,51882,5024,7.9
"274","Красноярский край","Октябрь","Квартал 4",76,55.2,-23.03,"1 000 - 5 000",0.48,0.52,"> 1 000",0.26,0.71,52545.3,3731,5.7
"275","Красноярский край","Ноябрь","Квартал 4",67,57,-33.73,"1 000 - 5 000",0.5,0.5,"> 1 000",0.2,0.76,51765.4,3731,5.7
"276","Красноярский край","Декабрь","Квартал 4",69,55.9,-29.15,"1 000 - 5 000",0.48,0.52,"> 1 000",0.2,0.75,69473.6,3731,5.7
"277","Курганская область","Январь","Квартал 1",61,53.9,17.2,"500 - 1 000",0.29,0.71,"100 - 500",0.08,0.9,30060.2,1151,8
"278","Курганская область","Февраль","Квартал 1",64,51.1,17.54,"500 - 1 000",0.28,0.72,"100 - 500",0.1,0.9,30394.3,1151,8
"279","Курганская область","Март","Квартал 1",65,52.9,3.74,"500 - 1 000",0.28,0.72,"100 - 500",0.11,0.87,31049.2,1151,8
"280","Курганская область","Апрель","Квартал 2",57,52.2,-32.42,"100 - 500",0.38,0.62,"100 - 500",0.08,0.89,31928.1,1347,8.4
"281","Курганская область","Май","Квартал 2",62,54.1,-38.85,"500 - 1 000",0.39,0.61,"100 - 500",0.26,0.73,33571.7,1347,8.4
"282","Курганская область","Июнь","Квартал 2",71.5,51.7,-20.51,"500 - 1 000",0.35,0.65,"100 - 500",0.25,0.74,34438.6,1347,8.4
"283","Курганская область","Июль","Квартал 3",74,52.3,-21.59,"500 - 1 000",0.38,0.62,"500 - 1 000",0.17,0.81,32468.9,1498,8.3
"284","Курганская область","Август","Квартал 3",71,54.4,-9.5,"500 - 1 000",0.39,0.61,"100 - 500",0.1,0.86,32267.7,1498,8.3
"285","Курганская область","Сентябрь","Квартал 3",71,53.6,-8.06,"500 - 1 000",0.37,0.63,"500 - 1 000",0.1,0.89,31895,1498,8.3
"286","Курганская область","Октябрь","Квартал 4",66,55.6,-38.49,"500 - 1 000",0.39,0.61,"500 - 1 000",0.14,0.84,30874.2,1568,8.3
"287","Курганская область","Ноябрь","Квартал 4",60.5,57.3,-41.06,"500 - 1 000",0.42,0.58,"500 - 1 000",0.08,0.89,30813,1568,8.3
"288","Курганская область","Декабрь","Квартал 4",69,55.8,-42.45,"500 - 1 000",0.41,0.59,"500 - 1 000",0.06,0.9,42649.2,1568,8.3
"289","Курская область","Январь","Квартал 1",54,49.1,29.82,"500 - 1 000",0.18,0.82,"100 - 500",0.17,0.8,34384.3,1780,4.2
"290","Курская область","Февраль","Квартал 1",58,45.3,22.51,"500 - 1 000",0.18,0.82,"100 - 500",0.13,0.85,32265.6,1780,4.2
"291","Курская область","Март","Квартал 1",63,46.5,15.84,"500 - 1 000",0.19,0.81,"100 - 500",0.15,0.82,33112.1,1780,4.2
"292","Курская область","Апрель","Квартал 2",44,48.8,-35.42,"100 - 500",0.33,0.68,"100 - 500",0.21,0.77,34132.5,1771,5.8
"293","Курская область","Май","Квартал 2",50,49.1,-38.01,"500 - 1 000",0.32,0.68,"100 - 500",0.22,0.76,36236.8,1771,5.8
"294","Курская область","Июнь","Квартал 2",62.5,48.3,9.07,"1 000 - 5 000",0.28,0.72,"100 - 500",0.14,0.85,36662.1,1771,5.8
"295","Курская область","Июль","Квартал 3",69,46.6,3.6,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.14,0.83,36085.2,1816,4.7
"296","Курская область","Август","Квартал 3",68,47.9,11.37,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.21,0.77,34353.7,1816,4.7
"297","Курская область","Сентябрь","Квартал 3",71,47.9,5.52,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.2,0.77,35290.3,1816,4.7
"298","Курская область","Октябрь","Квартал 4",67,49.5,-13.14,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.19,0.77,36513,1861,4.8
"299","Курская область","Ноябрь","Квартал 4",60.5,51.8,-25.95,"500 - 1 000",0.33,0.67,"100 - 500",0.17,0.79,35113.7,1861,4.8
"300","Курская область","Декабрь","Квартал 4",65,49.9,-24.62,"500 - 1 000",0.35,0.65,"500 - 1 000",0.21,0.76,46617,1861,4.8
"301","Липецкая область","Январь","Квартал 1",53,51.1,26.44,"500 - 1 000",0.22,0.78,"100 - 500",0.11,0.87,34401,5120,3.9
"302","Липецкая область","Февраль","Квартал 1",56,47.7,32.74,"500 - 1 000",0.21,0.79,"100 - 500",0.11,0.86,33688.3,5120,3.9
"303","Липецкая область","Март","Квартал 1",57,48.1,24.09,"500 - 1 000",0.22,0.78,"100 - 500",0.11,0.88,37486,5120,3.9
"304","Липецкая область","Апрель","Квартал 2",43.5,50.5,-32.83,"100 - 500",0.42,0.58,"100 - 500",0.14,0.84,34953.2,5066,4.5
"305","Липецкая область","Май","Квартал 2",52,50.7,-38.52,"500 - 1 000",0.33,0.67,"100 - 500",0.31,0.68,36304.8,5066,4.5
"306","Липецкая область","Июнь","Квартал 2",63.5,48,7.35,"1 000 - 5 000",0.27,0.73,"100 - 500",0.31,0.67,35954.4,5066,4.5
"307","Липецкая область","Июль","Квартал 3",67,47.5,3.82,"1 000 - 5 000",0.28,0.72,"500 - 1 000",0.29,0.69,36658.2,5319,4.3
"308","Липецкая область","Август","Квартал 3",66,49.5,28.23,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.26,0.72,35512.5,5319,4.3
"309","Липецкая область","Сентябрь","Квартал 3",65.5,49.7,6.61,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.25,0.72,35243.3,5319,4.3
"310","Липецкая область","Октябрь","Квартал 4",63,50.7,-9.41,"1 000 - 5 000",0.3,0.7,"500 - 1 000",0.21,0.76,35509.2,5540,4.6
"311","Липецкая область","Ноябрь","Квартал 4",60,52.8,-22.63,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.23,0.74,38052.9,5540,4.6
"312","Липецкая область","Декабрь","Квартал 4",63,51.2,-15.3,"1 000 - 5 000",0.28,0.72,"500 - 1 000",0.2,0.77,47753.8,5540,4.6
"313","Магаданская область","Январь","Квартал 1",56,58,11.63,"100 - 500",0.55,0.45,"50 - 100",0.19,0.81,87950.1,20,5.2
"314","Магаданская область","Февраль","Квартал 1",61,55.4,6.29,"100 - 500",0.54,0.46,"50 - 100",0.18,0.79,89756.1,20,5.2
"315","Магаданская область","Март","Квартал 1",60,57.2,12.34,"100 - 500",0.55,0.45,"100 - 500",0.13,0.87,90754.7,20,5.2
"316","Магаданская область","Апрель","Квартал 2",53.5,55.8,-11.05,"100 - 500",0.65,0.35,"50 - 100",0.13,0.87,98605.7,20,5.4
"317","Магаданская область","Май","Квартал 2",58,57.5,-4.83,"100 - 500",0.63,0.37,"100 - 500",0.32,0.68,110717.9,20,5.4
"318","Магаданская область","Июнь","Квартал 2",64.5,57,-2.44,"100 - 500",0.58,0.42,"100 - 500",0.29,0.68,101247.8,20,5.4
"319","Магаданская область","Июль","Квартал 3",68,57,3.68,"100 - 500",0.54,0.46,"100 - 500",0.2,0.79,98926.7,20,5.9
"320","Магаданская область","Август","Квартал 3",67,59,14.02,"100 - 500",0.5,0.5,"100 - 500",0.35,0.64,90145.2,20,5.9
"321","Магаданская область","Сентябрь","Квартал 3",66,59.1,5.99,"100 - 500",0.53,0.47,"100 - 500",0.36,0.6,96661.1,20,5.9
"322","Магаданская область","Октябрь","Квартал 4",65,64.9,-66.1,"500 - 1 000",0.58,0.42,"100 - 500",0.27,0.72,99916.3,20,6.1
"323","Магаданская область","Ноябрь","Квартал 4",62,60.6,-65.57,"100 - 500",0.62,0.38,"100 - 500",0.14,0.84,127807.9,20,6.1
"324","Магаданская область","Декабрь","Квартал 4",67,58.7,-66.57,"100 - 500",0.61,0.39,"100 - 500",0.17,0.79,137247.9,20,6.1
"325","Мордовия","Январь","Квартал 1",62,45.7,25.82,"100 - 500",0.2,0.8,"100 - 500",0.08,0.9,28004.7,2924,5.1
"326","Мордовия","Февраль","Квартал 1",66,43.3,40.02,"100 - 500",0.18,0.82,"100 - 500",0.06,0.91,28514.2,2924,5.1
"327","Мордовия","Март","Квартал 1",67,44.6,21.57,"100 - 500",0.25,0.75,"100 - 500",0.09,0.91,30140.7,2924,5.1
"328","Мордовия","Апрель","Квартал 2",46,45.1,-16.44,"100 - 500",0.4,0.6,"100 - 500",0.07,0.92,29262,2801,5.7
"329","Мордовия","Май","Квартал 2",55,47,-36.27,"100 - 500",0.41,0.59,"100 - 500",0.1,0.86,30696.8,2801,5.7
"330","Мордовия","Июнь","Квартал 2",67.5,45.4,0.22,"500 - 1 000",0.35,0.65,"100 - 500",0.17,0.82,32076,2801,5.7
"331","Мордовия","Июль","Квартал 3",74,45.1,9.91,"500 - 1 000",0.34,0.66,"100 - 500",0.12,0.86,31681.7,2506,4.9
"332","Мордовия","Август","Квартал 3",71,46.8,20.47,"500 - 1 000",0.37,0.63,"100 - 500",0.15,0.84,31408.2,2506,4.9
"333","Мордовия","Сентябрь","Квартал 3",75.5,47.1,13.85,"500 - 1 000",0.36,0.64,"100 - 500",0.07,0.91,31551.7,2506,4.9
"334","Мордовия","Октябрь","Квартал 4",71,48.2,11.45,"500 - 1 000",0.33,0.67,"100 - 500",0.11,0.87,31031.9,2549,5.7
"335","Мордовия","Ноябрь","Квартал 4",63,49.8,-8.41,"500 - 1 000",0.38,0.62,"100 - 500",0.16,0.82,30595.8,2549,5.7
"336","Мордовия","Декабрь","Квартал 4",69,48.7,-5.39,"500 - 1 000",0.35,0.65,"100 - 500",0.13,0.87,37870.5,2549,5.7
"337","Москва","Январь","Квартал 1",73,58.3,21.9,"5 000 - 10 000",0.55,0.45,"> 1 000",0.43,0.53,88844.7,41270,1.6
"338","Москва","Февраль","Квартал 1",79,54.3,10.86,"5 000 - 10 000",0.52,0.48,"> 1 000",0.35,0.62,92390,41270,1.6
"339","Москва","Март","Квартал 1",76,55.4,-6.52,"> 10 000",0.56,0.44,"> 1 000",0.32,0.65,105237.5,41270,1.6
"340","Москва","Апрель","Квартал 2",34,58.1,-77.48,"1 000 - 5 000",0.74,0.26,"> 1 000",0.24,0.72,101551.2,41873,2
"341","Москва","Май","Квартал 2",42,58.5,-71.84,"5 000 - 10 000",0.71,0.29,"> 1 000",0.53,0.45,91823.4,41873,2
"342","Москва","Июнь","Квартал 2",66,55.7,-48.91,"> 10 000",0.6,0.4,"> 1 000",0.51,0.47,98699.7,41873,2
"343","Москва","Июль","Квартал 3",75,55.7,-31.89,"> 10 000",0.62,0.38,"> 1 000",0.5,0.48,98930,42271,3.3
"344","Москва","Август","Квартал 3",75,57.2,-11.11,"> 10 000",0.62,0.38,"> 1 000",0.48,0.49,90304,42271,3.3
"345","Москва","Сентябрь","Квартал 3",79,57,-15.48,"> 10 000",0.63,0.37,"> 1 000",0.42,0.52,93061.5,42271,3.3
"346","Москва","Октябрь","Квартал 4",74,57.4,-53.17,"> 10 000",0.66,0.34,"> 1 000",0.32,0.63,94064.5,40483,3.6
"347","Москва","Ноябрь","Квартал 4",69,59.6,-58.48,"> 10 000",0.67,0.33,"> 1 000",0.35,0.59,95314.1,40483,3.6
"348","Москва","Декабрь","Квартал 4",70,57.8,-50.08,"> 10 000",0.64,0.36,"> 1 000",0.33,0.62,153647.3,40483,3.6
"349","Московская область","Январь","Квартал 1",60,57.8,0.96,"5 000 - 10 000",0.42,0.58,"> 1 000",0.32,0.65,55236.4,8369,2.6
"350","Московская область","Февраль","Квартал 1",65,57.8,-0.49,"5 000 - 10 000",0.41,0.59,"> 1 000",0.24,0.72,54124.1,8369,2.6
"351","Московская область","Март","Квартал 1",65,57.8,-8.69,"5 000 - 10 000",0.43,0.57,"> 1 000",0.24,0.73,57915.1,8369,2.6
"352","Московская область","Апрель","Квартал 2",39.5,57.8,-64.36,"1 000 - 5 000",0.63,0.37,"> 1 000",0.15,0.82,52093.9,8650,3.8
"353","Московская область","Май","Квартал 2",47,57.8,-64.24,"5 000 - 10 000",0.59,0.41,"> 1 000",0.41,0.57,55754.6,8650,3.8
"354","Московская область","Июнь","Квартал 2",67,57.8,-43.73,"5 000 - 10 000",0.5,0.5,"> 1 000",0.33,0.64,57043.7,8650,3.8
"355","Московская область","Июль","Квартал 3",70,57.8,-27.67,"> 10 000",0.55,0.45,"> 1 000",0.32,0.66,56200.2,9980,4
"356","Московская область","Август","Квартал 3",70,57.8,-7.96,"> 10 000",0.55,0.45,"> 1 000",0.28,0.68,53724.3,9980,4
"357","Московская область","Сентябрь","Квартал 3",71.5,57.8,-4.14,"> 10 000",0.56,0.44,"> 1 000",0.22,0.73,55039.2,9980,4
